time;game;playerid;win/lose;
0:36:28 ;RatRace;76561199013191843;-1;
0:37:8 ;RatRace;76561199013191843;-1;
0:38:9 ;DiceGame;76561199013191843;-2;
0:38:29 ;DiceGame;76561199013191843;-1;
0:38:42 ;DiceGame;76561199013191843;-1;
0:39:0 ;DiceGame;76561199013191843;-1;
0:39:13 ;DiceGame;76561199013191843;-1;
0:39:20 ;DiceGame;76561199013191843;-1;
0:39:31 ;DiceGame;76561199013191843;-1;
0:39:39 ;DiceGame;76561199013191843;-1;
0:39:45 ;DiceGame;76561199013191843;-1;
0:39:57 ;DiceGame;76561199013191843;-1;
0:40:3 ;DiceGame;76561199013191843;-1;
0:40:7 ;DiceGame;76561199013191843;-1;
0:40:11 ;DiceGame;76561199013191843;2;
0:40:37 ;LuckyWheel;76561199013191843;1;
0:40:50 ;LuckyWheel;76561199013191843;3;
0:40:59 ;LuckyWheel;76561199013191843;-1;
0:41:16 ;LuckyWheel;76561199013191843;2;
0:41:25 ;LuckyWheel;76561199013191843;-1;
0:41:39 ;LuckyWheel;76561199013191843;-1;
0:41:52 ;LuckyWheel;76561199013191843;-1;
0:42:2 ;LuckyWheel;76561199013191843;1;
0:42:16 ;LuckyWheel;76561199013191843;-1;
0:42:27 ;LuckyWheel;76561199013191843;-1;
0:42:37 ;LuckyWheel;76561199013191843;-1;
0:42:50 ;LuckyWheel;76561199013191843;-1;
0:43:1 ;LuckyWheel;76561199013191843;-1;
0:43:10 ;LuckyWheel;76561199013191843;-1;
0:43:21 ;LuckyWheel;76561199013191843;-1;
0:43:35 ;LuckyWheel;76561199013191843;2;
0:43:49 ;LuckyWheel;76561199013191843;-1;
0:44:1 ;LuckyWheel;76561199013191843;5;
0:44:15 ;LuckyWheel;76561199013191843;2;
0:44:47 ;LuckyWheel;76561199013191843;-1;
0:45:32 ;LuckyWheel;76561199013191843;2;
0:45:49 ;LuckyWheel;76561199013191843;-1;
0:46:0 ;LuckyWheel;76561199013191843;3;
0:46:12 ;LuckyWheel;76561199013191843;1;
0:46:23 ;LuckyWheel;76561199013191843;-1;
0:46:34 ;LuckyWheel;76561199013191843;-1;
0:46:42 ;LuckyWheel;76561199013191843;1;
0:46:53 ;LuckyWheel;76561199013191843;-1;
0:47:3 ;LuckyWheel;76561199013191843;-1;
0:47:18 ;LuckyWheel;76561199013191843;-1;
0:47:32 ;LuckyWheel;76561199013191843;-1;
0:47:45 ;LuckyWheel;76561199013191843;-1;
0:48:13 ;LuckyWheel;76561199013191843;-1;
0:48:29 ;LuckyWheel;76561199013191843;1;
0:48:42 ;LuckyWheel;76561199013191843;-1;
0:48:57 ;LuckyWheel;76561199013191843;-1;
0:49:10 ;LuckyWheel;76561199013191843;-1;
0:49:20 ;LuckyWheel;76561199013191843;1;
0:49:36 ;LuckyWheel;76561199013191843;-1;
0:49:48 ;LuckyWheel;76561199013191843;-1;
0:49:58 ;LuckyWheel;76561199013191843;-1;
0:50:14 ;LuckyWheel;76561199013191843;-1;
0:50:32 ;LuckyWheel;76561199013191843;2;
0:50:42 ;LuckyWheel;76561199013191843;-1;
0:50:51 ;LuckyWheel;76561199013191843;-1;
0:51:6 ;LuckyWheel;76561199013191843;2;
0:51:34 ;LuckyWheel;76561199013191843;-1;
0:51:46 ;LuckyWheel;76561199013191843;-1;
0:52:4 ;LuckyWheel;76561199013191843;-1;
0:52:17 ;LuckyWheel;76561199013191843;1;
0:52:31 ;LuckyWheel;76561199013191843;1;
0:52:47 ;LuckyWheel;76561199013191843;2;
0:52:58 ;LuckyWheel;76561199013191843;-1;
0:53:9 ;LuckyWheel;76561199013191843;-1;
0:53:25 ;LuckyWheel;76561199013191843;-1;
0:53:39 ;LuckyWheel;76561199013191843;-1;
0:53:50 ;LuckyWheel;76561199013191843;2;
0:53:59 ;LuckyWheel;76561199013191843;-1;
0:54:9 ;LuckyWheel;76561199013191843;2;
0:54:22 ;LuckyWheel;76561199013191843;1;
0:54:33 ;LuckyWheel;76561199013191843;1;
0:54:49 ;LuckyWheel;76561199013191843;2;
0:55:7 ;LuckyWheel;76561199013191843;-1;
0:55:20 ;LuckyWheel;76561199013191843;-1;
0:55:38 ;LuckyWheel;76561199013191843;575;
1:6:55 ;LuckyWheel;76561199013191843;-1;
1:7:10 ;LuckyWheel;76561199013191843;500;
1:11:48 ;LuckyWheel;76561199013191843;3;
1:12:4 ;LuckyWheel;76561199013191843;-1;
1:12:25 ;LuckyWheel;76561199013191843;-1;
1:12:39 ;LuckyWheel;76561199013191843;2;
1:12:52 ;LuckyWheel;76561199013191843;1;
1:13:11 ;LuckyWheel;76561199013191843;-1;
1:13:40 ;LuckyWheel;76561199013191843;1;
1:13:59 ;LuckyWheel;76561199013191843;-1;
1:14:12 ;LuckyWheel;76561199013191843;-1;
1:14:31 ;LuckyWheel;76561199013191843;-1;
1:14:42 ;LuckyWheel;76561199013191843;-1;
1:15:3 ;LuckyWheel;76561199013191843;-1;
1:15:21 ;LuckyWheel;76561199013191843;1;
1:15:40 ;LuckyWheel;76561199013191843;-1;
1:16:1 ;LuckyWheel;76561199013191843;-1;
1:16:18 ;LuckyWheel;76561199013191843;-1;
1:16:36 ;LuckyWheel;76561199013191843;1;
1:16:55 ;LuckyWheel;76561199013191843;1;
1:17:7 ;LuckyWheel;76561199013191843;-1;
1:17:27 ;LuckyWheel;76561199013191843;-1;
1:17:46 ;LuckyWheel;76561199013191843;5;
1:18:6 ;LuckyWheel;76561199013191843;-1;
1:18:28 ;LuckyWheel;76561199013191843;-1;
1:18:54 ;LuckyWheel;76561199013191843;-1;
1:19:6 ;LuckyWheel;76561199013191843;-1;
1:19:23 ;LuckyWheel;76561199013191843;-1;
1:19:41 ;LuckyWheel;76561199013191843;1;
1:20:0 ;LuckyWheel;76561199013191843;2;
1:20:18 ;LuckyWheel;76561199013191843;1;
1:20:31 ;LuckyWheel;76561199013191843;-1;
1:20:54 ;LuckyWheel;76561199013191843;5;
1:21:15 ;LuckyWheel;76561199013191843;-1;
1:21:32 ;LuckyWheel;76561199013191843;2;
1:21:52 ;LuckyWheel;76561199013191843;-1;
1:22:6 ;LuckyWheel;76561199013191843;-1;
1:22:19 ;LuckyWheel;76561199013191843;-1;
1:23:21 ;LuckyWheel;76561199013191843;-1;
1:23:37 ;LuckyWheel;76561199013191843;-1;
1:23:54 ;LuckyWheel;76561199013191843;1;
1:24:9 ;LuckyWheel;76561199013191843;-1;
1:24:24 ;LuckyWheel;76561199013191843;-1;
1:24:38 ;LuckyWheel;76561199013191843;5;
1:24:54 ;LuckyWheel;76561199013191843;-1;
