

[2022-05-08 08:26:54] [AppID 221100] Schema not found on disk
[2022-05-08 08:26:54] [AppID 221100] CAPIJobRequestUserStats - received error 'Failure' (2) from server
[2022-05-08 08:26:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:27:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2022-05-08 08:35:37] [AppID 221100] Schema not found on disk
[2022-05-08 08:35:38] [AppID 221100] CAPIJobRequestUserStats - received error 'Failure' (2) from server
[2022-05-08 08:35:38] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:37:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:52:24] [AppID 221100] Schema not found on disk
[2022-05-08 08:52:24] [AppID 221100] CAPIJobRequestUserStats - received error 'Failure' (2) from server
[2022-05-08 08:52:24] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:53:26] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:55:07] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:57:26] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 08:59:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:01:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:02:17] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:05:02] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:06:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:24:09] [AppID 221100] Schema not found on disk
[2022-05-08 09:24:09] [AppID 221100] CAPIJobRequestUserStats - received error 'Failure' (2) from server
[2022-05-08 09:24:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:25:55] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:28:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:29:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2022-05-08 09:31:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
